exps,dataSets,attacks,budgets(%),metrics,result
1,CiteSeer,nodeembeddingattack,10,node_homophily,0.516153305
1,CiteSeer,nodeembeddingattack,10,class_homophily,0.541135584
1,CiteSeer,nodeembeddingattack,10,adjusted_homophily,0.428837678
1,CiteSeer,nodeembeddingattack,10,balanced_homophily,0.189953052
1,CiteSeer,nodeembeddingattack,15,edge_homophily,0.54754522
1,CiteSeer,nodeembeddingattack,15,node_homophily,0.514434431
1,CiteSeer,nodeembeddingattack,15,class_homophily,0.541156034
1,CiteSeer,nodeembeddingattack,15,adjusted_homophily,0.445017699
1,CiteSeer,nodeembeddingattack,15,balanced_homophily,0.189965834
1,CiteSeer,nodeembeddingattack,20,edge_homophily,0.546128501
1,CiteSeer,nodeembeddingattack,20,node_homophily,0.513403594
1,CiteSeer,nodeembeddingattack,20,class_homophily,0.54355358
1,CiteSeer,nodeembeddingattack,20,adjusted_homophily,0.45838043
1,CiteSeer,nodeembeddingattack,20,balanced_homophily,0.1914643
1,CiteSeer,pgd,1,edge_homophily,0.538830716
1,CiteSeer,pgd,1,node_homophily,0.511210924
1,CiteSeer,pgd,1,class_homophily,0.52747119
1,CiteSeer,pgd,1,adjusted_homophily,0.3794291
1,CiteSeer,pgd,1,balanced_homophily,0.181412806
1,CiteSeer,pgd,5,edge_homophily,0.522625876
1,CiteSeer,pgd,5,node_homophily,0.500365809
1,CiteSeer,pgd,5,class_homophily,0.499559366
1,CiteSeer,pgd,5,adjusted_homophily,0.344314072
1,CiteSeer,pgd,5,balanced_homophily,0.163967916
1,CiteSeer,pgd,10,edge_homophily,0.504189659
1,CiteSeer,pgd,10,node_homophily,0.489709195
1,CiteSeer,pgd,10,class_homophily,0.472307907
1,CiteSeer,pgd,10,adjusted_homophily,0.300505581
1,CiteSeer,pgd,10,balanced_homophily,0.146935754
1,CiteSeer,pgd,15,edge_homophily,0.485015773
1,CiteSeer,pgd,15,node_homophily,0.481057724
1,CiteSeer,pgd,15,class_homophily,0.443779055
1,CiteSeer,pgd,15,adjusted_homophily,0.252599156
1,CiteSeer,pgd,15,balanced_homophily,0.129105221
1,CiteSeer,pgd,20,edge_homophily,0.467296786
1,CiteSeer,pgd,20,node_homophily,0.471056486
1,CiteSeer,pgd,20,class_homophily,0.417840562
1,CiteSeer,pgd,20,adjusted_homophily,0.192445807
1,CiteSeer,pgd,20,balanced_homophily,0.112893663
1,CiteSeer,random,1,edge_homophily,0.539917337
1,CiteSeer,random,1,node_homophily,0.512098878
1,CiteSeer,random,1,class_homophily,0.529734727
1,CiteSeer,random,1,adjusted_homophily,0.380107507
1,CiteSeer,random,1,balanced_homophily,0.182827517
1,CiteSeer,random,5,edge_homophily,0.526679222
1,CiteSeer,random,5,node_homophily,0.49982118
1,CiteSeer,random,5,class_homophily,0.510083695
1,CiteSeer,random,5,adjusted_homophily,0.345764717
1,CiteSeer,random,5,balanced_homophily,0.170545622
1,CiteSeer,random,10,edge_homophily,0.508687837
1,CiteSeer,random,10,node_homophily,0.484573957
1,CiteSeer,random,10,class_homophily,0.485301842
1,CiteSeer,random,10,adjusted_homophily,0.298737749
1,CiteSeer,random,10,balanced_homophily,0.155056964
1,CiteSeer,random,15,edge_homophily,0.49006496
1,CiteSeer,random,15,node_homophily,0.470830788
1,CiteSeer,random,15,class_homophily,0.460728819
1,CiteSeer,random,15,adjusted_homophily,0.241456433
1,CiteSeer,random,15,balanced_homophily,0.139698824
1,CiteSeer,random,20,edge_homophily,0.479494691
1,CiteSeer,random,20,node_homophily,0.459519449
1,CiteSeer,random,20,class_homophily,0.44363378
1,CiteSeer,random,20,adjusted_homophily,0.192325966
1,CiteSeer,random,20,balanced_homophily,0.129014425
2,Cora,CLGA,1,edge_homophily,0.805107022
2,Cora,CLGA,1,node_homophily,0.817218389
2,Cora,CLGA,1,class_homophily,0.759708294
2,Cora,CLGA,1,adjusted_homophily,0.431056411
2,Cora,CLGA,1,balanced_homophily,0.355824977
2,Cora,CLGA,5,edge_homophily,0.785000908
2,Cora,CLGA,5,node_homophily,0.783832009
2,Cora,CLGA,5,class_homophily,0.735320778
2,Cora,CLGA,5,adjusted_homophily,0.26463529
2,Cora,CLGA,5,balanced_homophily,0.341192467
2,Cora,CLGA,10,edge_homophily,0.761199233
2,Cora,CLGA,10,node_homophily,0.749630077
2,Cora,CLGA,10,class_homophily,0.706909327
2,Cora,CLGA,10,adjusted_homophily,-0.041970991
2,Cora,CLGA,10,balanced_homophily,0.324145596
2,Cora,CLGA,15,edge_homophily,0.739232445
2,Cora,CLGA,15,node_homophily,0.721551592
2,Cora,CLGA,15,class_homophily,0.681428065
2,Cora,CLGA,15,adjusted_homophily,-0.612147798
2,Cora,CLGA,15,balanced_homophily,0.308856839
2,Cora,CLGA,20,edge_homophily,0.719193548
2,Cora,CLGA,20,node_homophily,0.697131736
2,Cora,CLGA,20,class_homophily,0.656991623
2,Cora,CLGA,20,adjusted_homophily,-2.033388391
2,Cora,CLGA,20,balanced_homophily,0.294194974
2,Cora,dice,1,edge_homophily,0.80538695
2,Cora,dice,1,node_homophily,0.820365932
2,Cora,dice,1,class_homophily,0.760931557
2,Cora,dice,1,adjusted_homophily,0.453595547
2,Cora,dice,1,balanced_homophily,0.356558934
2,Cora,dice,5,edge_homophily,0.78445831
2,Cora,dice,5,node_homophily,0.79687521
2,Cora,dice,5,class_homophily,0.735293075
2,Cora,dice,5,adjusted_homophily,0.384562385
2,Cora,dice,5,balanced_homophily,0.341175845
2,Cora,dice,10,edge_homophily,0.760683761
2,Cora,dice,10,node_homophily,0.768122335
2,Cora,dice,10,class_homophily,0.710132649
2,Cora,dice,10,adjusted_homophily,0.340454485
2,Cora,dice,10,balanced_homophily,0.326079589
2,Cora,dice,15,edge_homophily,0.734366144
2,Cora,dice,15,node_homophily,0.735703906
2,Cora,dice,15,class_homophily,0.676120788
2,Cora,dice,15,adjusted_homophily,0.25356143
2,Cora,dice,15,balanced_homophily,0.305672473
2,Cora,dice,20,edge_homophily,0.707700956
2,Cora,dice,20,node_homophily,0.708448717
2,Cora,dice,20,class_homophily,0.647939844
2,Cora,dice,20,adjusted_homophily,0.144504305
2,Cora,dice,20,balanced_homophily,0.288763906
2,Cora,metattack,1,edge_homophily,0.80206379
2,Cora,metattack,1,node_homophily,0.811833111
2,Cora,metattack,1,class_homophily,0.756222733
2,Cora,metattack,1,adjusted_homophily,0.421844218
2,Cora,metattack,1,balanced_homophily,0.35373364
2,Cora,metattack,5,edge_homophily,0.772243277
2,Cora,metattack,5,node_homophily,0.777824969
2,Cora,metattack,5,class_homophily,0.71842281
2,Cora,metattack,5,adjusted_homophily,0.221892766
2,Cora,metattack,5,balanced_homophily,0.331053686
2,Cora,metattack,10,edge_homophily,0.739707149
2,Cora,metattack,10,node_homophily,0.741166964
2,Cora,metattack,10,class_homophily,0.67917944
2,Cora,metattack,10,adjusted_homophily,-0.167148206
2,Cora,metattack,10,balanced_homophily,0.307507664
2,Cora,metattack,15,edge_homophily,0.709879598
2,Cora,metattack,15,node_homophily,0.710929335
